iter	Passed	Remaining
0	1	1775
1	3	1750
2	5	1706
3	6	1686
4	8	1711
5	10	1676
6	11	1670
7	13	1651
8	14	1628
9	16	1624
10	17	1616
11	19	1607
12	21	1622
13	23	1625
14	24	1639
15	26	1636
16	28	1654
17	30	1645
18	31	1648
19	33	1641
20	35	1632
21	36	1630
22	38	1622
23	39	1621
24	41	1614
25	42	1607
26	44	1603
27	46	1599
28	47	1602
29	49	1604
30	51	1604
31	53	1605
32	54	1602
33	56	1598
34	57	1593
35	59	1589
36	60	1586
37	62	1581
38	64	1578
39	65	1576
40	67	1571
41	68	1569
42	70	1564
43	71	1560
44	73	1559
45	75	1556
46	76	1554
47	78	1551
48	79	1551
49	81	1552
50	83	1551
51	84	1549
52	86	1545
53	88	1542
54	89	1539
55	91	1537
56	92	1535
57	94	1532
58	96	1533
59	97	1530
60	99	1528
61	100	1526
62	102	1523
63	103	1520
64	105	1521
65	107	1520
66	109	1519
67	110	1517
68	112	1514
69	113	1512
70	115	1510
71	117	1508
72	118	1506
73	120	1504
74	121	1502
75	123	1500
76	124	1496
77	126	1497
78	128	1496
79	130	1496
80	131	1495
81	133	1494
82	135	1491
83	136	1489
84	138	1486
85	139	1484
86	141	1481
87	142	1479
88	144	1477
89	145	1475
90	147	1474
91	149	1472
92	150	1469
93	152	1467
94	153	1466
95	155	1464
96	157	1463
97	158	1462
98	160	1460
99	162	1458
100	163	1456
101	165	1454
102	166	1451
103	168	1449
104	169	1446
105	171	1444
106	172	1442
107	174	1440
108	175	1438
109	177	1435
110	179	1433
111	180	1431
112	182	1429
113	183	1427
114	185	1425
115	186	1423
116	188	1421
117	189	1419
118	191	1416
119	192	1414
120	194	1413
121	196	1412
122	197	1410
123	199	1408
124	200	1406
125	202	1404
126	203	1402
127	205	1401
128	207	1399
129	208	1397
130	210	1395
131	211	1393
132	213	1391
133	215	1389
134	216	1388
135	218	1386
136	219	1383
137	221	1382
138	223	1381
139	224	1379
140	226	1377
141	227	1375
142	229	1373
143	230	1371
144	232	1369
145	233	1367
146	235	1365
147	237	1364
148	238	1362
149	240	1360
150	241	1359
151	243	1357
152	244	1354
153	246	1353
154	247	1351
155	249	1349
156	251	1348
157	252	1346
158	254	1344
159	255	1342
160	257	1340
161	258	1338
162	260	1337
163	261	1335
164	263	1333
165	264	1331
166	266	1329
167	268	1328
168	269	1327
169	271	1325
170	273	1323
171	274	1321
172	276	1319
173	277	1318
174	279	1316
175	280	1314
176	282	1312
177	284	1311
178	285	1310
179	287	1308
180	288	1306
181	290	1305
182	291	1303
183	293	1301
184	295	1299
185	296	1298
186	298	1296
187	300	1296
188	301	1295
189	303	1293
190	304	1291
191	306	1289
192	308	1288
193	309	1286
194	311	1284
195	312	1282
196	314	1281
197	316	1280
198	317	1278
199	319	1276
200	320	1274
201	322	1272
202	323	1271
203	325	1269
204	326	1267
205	328	1266
206	330	1265
207	331	1263
208	333	1261
209	334	1260
210	336	1258
211	338	1256
212	339	1254
213	341	1253
214	342	1251
215	344	1250
216	346	1248
217	347	1247
218	349	1245
219	350	1244
220	352	1242
221	353	1240
222	355	1238
223	357	1237
224	358	1235
225	360	1234
226	362	1233
227	363	1231
228	365	1230
229	366	1228
230	368	1226
231	369	1224
232	371	1222
233	373	1221
234	374	1219
235	376	1217
236	377	1216
237	379	1214
238	380	1213
239	382	1211
240	384	1209
241	385	1207
242	387	1206
243	388	1204
244	390	1203
245	392	1201
246	393	1199
247	395	1198
248	396	1196
249	398	1194
250	399	1192
251	401	1191
252	402	1189
253	404	1187
254	406	1186
255	407	1185
256	409	1183
257	410	1181
258	412	1180
259	414	1178
260	415	1176
261	417	1175
262	418	1173
263	420	1171
264	421	1170
265	423	1168
266	425	1167
267	426	1165
268	428	1163
269	429	1161
270	431	1160
271	432	1158
272	434	1156
273	436	1155
274	437	1154
275	439	1152
276	440	1150
277	442	1148
278	444	1147
279	446	1147
280	447	1145
281	449	1144
282	451	1143
283	452	1141
284	454	1140
285	456	1138
286	457	1136
287	459	1135
288	460	1133
289	462	1132
290	464	1130
291	465	1129
292	467	1127
293	468	1125
294	470	1124
295	471	1122
296	473	1120
297	475	1119
298	476	1117
299	478	1115
300	479	1114
301	481	1112
302	482	1110
303	484	1108
304	485	1107
305	487	1105
306	489	1103
307	490	1102
308	492	1100
309	493	1099
310	495	1097
311	496	1095
312	498	1094
313	500	1092
314	501	1090
315	503	1089
316	504	1087
317	506	1085
318	507	1084
319	509	1082
320	511	1080
321	512	1079
322	514	1077
323	515	1076
324	517	1074
325	518	1072
326	520	1070
327	521	1069
328	523	1067
329	525	1066
330	526	1064
331	528	1063
332	529	1061
333	531	1059
334	533	1058
335	534	1056
336	536	1054
337	537	1053
338	539	1051
339	540	1049
340	542	1048
341	544	1047
342	546	1045
343	547	1044
344	549	1042
345	550	1040
346	552	1039
347	553	1037
348	555	1035
349	556	1034
350	558	1033
351	560	1031
352	562	1030
353	563	1028
354	565	1027
355	566	1025
356	568	1023
357	569	1022
358	571	1020
359	573	1018
360	574	1017
361	576	1016
362	578	1014
363	579	1013
364	581	1011
365	582	1009
366	584	1008
367	586	1006
368	587	1004
369	589	1003
370	590	1001
371	592	1000
372	593	998
373	595	996
374	597	995
375	598	993
376	600	991
377	601	990
378	603	988
379	604	986
380	606	985
381	607	983
382	609	981
383	611	980
384	612	978
385	614	976
386	615	975
387	617	973
388	618	971
389	620	970
390	621	968
391	623	967
392	625	965
393	626	963
394	628	962
395	629	960
396	631	958
397	632	957
398	634	955
399	635	953
400	637	952
401	639	950
402	640	948
403	642	947
404	643	945
405	645	943
406	646	942
407	648	940
408	649	939
409	651	937
410	653	935
411	654	934
412	656	932
413	657	930
414	659	929
415	660	927
416	662	925
417	663	924
418	665	922
419	667	921
420	668	919
421	670	917
422	671	916
423	673	914
424	674	913
425	676	911
426	678	910
427	680	909
428	681	907
429	683	906
430	685	904
431	686	903
432	688	901
433	689	899
434	691	898
435	693	896
436	695	895
437	696	894
438	698	892
439	700	891
440	702	889
441	703	888
442	705	886
443	707	885
444	708	883
445	710	882
446	712	880
447	713	879
448	715	877
449	716	876
450	718	874
451	720	873
